Region,Product,Month,Units,Revenue
North,Widgets,Jan,150,7500
South,Gadgets,Jan,200,12000
East,Widgets,Jan,130,6500
West,Gadgets,Jan,160,9600
North,Widgets,Feb,120,6000
South,Gadgets,Feb,180,10800
East,Widgets,Feb,140,7000
West,Gadgets,Feb,190,11400
North,Widgets,Mar,170,8500
South,Gadgets,Mar,210,12600
East,Widgets,Mar,160,8000
West,Gadgets,Mar,200,12000
North,Gizmos,Jan,90,9000
South,Gizmos,Jan,110,11000
East,Gizmos,Jan,80,8000
West,Gizmos,Jan,100,10000
North,Gizmos,Feb,100,10000
South,Gizmos,Feb,120,12000
East,Gizmos,Feb,90,9000
West,Gizmos,Feb,110,11000
North,Gizmos,Mar,110,11000
South,Gizmos,Mar,130,13000
East,Gizmos,Mar,100,10000
West,Gizmos,Mar,120,12000
